producto_id,producto,fecha,cantidad,f_semanal,f_anual,f_festivo,f_promocion,f_shock,choque
14,Anka Chida,2024-09-16,18.0,0.72,1.0810051230993314,1.0,1.0,1.1248861262152905,0.16142960591202637
14,Anka Chida,2024-09-17,25.0,0.8,1.0755619826693905,1.0,1.0,1.2284837883936675,0.24952851315208696
14,Anka Chida,2024-09-18,43.0,0.92,1.0700964822331023,1.0,1.0,1.2565807055169254,0.2721421028750179
14,Anka Chida,2024-09-19,37.0,1.05,1.0646102391199772,1.0,1.0,1.2459166155599788,0.2636192929452554
14,Anka Chida,2024-09-20,24.0,1.45,1.059104876797618,1.0,1.0,0.6391454744969642,-0.4038753943746461
14,Anka Chida,2024-09-21,42.0,1.7,1.053582024391308,1.0,1.0,0.7534950553825095,-0.23928502661602763
14,Anka Chida,2024-09-22,26.0,1.1,1.048043316201929,1.0,1.0,0.6963513566246571,-0.3181531267704586
14,Anka Chida,2024-09-23,31.0,0.72,1.042490391222343,1.0,1.0,1.042685285342204,0.0855471871623382
14,Anka Chida,2024-09-24,0.0,0.8,1.03692489265239,1.0,1.0,1.2036026987440003,0.22906710451870538
14,Anka Chida,2024-09-25,20.0,0.92,1.0313484674126365,1.0,1.0,0.8610459281518071,-0.10585963665510068
14,Anka Chida,2024-09-26,20.0,1.05,1.0257627656570274,1.0,1.0,0.5847816485370269,-0.49276895526877995
14,Anka Chida,2024-09-27,30.0,1.45,1.0201694402845771,1.0,1.0,0.713215718111748,-0.2942235578596836
14,Anka Chida,2024-09-28,62.0,1.7,1.0145701464502517,1.0,1.0,1.0969442597855543,0.13627616502391882
14,Anka Chida,2024-09-29,29.0,1.1,1.0089665410751805,1.0,1.0,1.0689242616108268,0.11040057629774958
14,Anka Chida,2024-09-30,27.0,0.72,1.0033602823563474,1.0,1.0,1.1238409380766547,0.1605000238115602
14,Anka Chida,2024-10-01,35.0,0.8,0.9977530292759033,1.0,1.0,1.2032442333951163,0.2287692331860936
14,Anka Chida,2024-10-02,42.0,0.92,0.9921464411102466,1.0,1.0,1.466268408149632,0.4264684720053068
14,Anka Chida,2024-10-03,26.0,1.05,0.9865421769390171,1.0,1.0,0.6689641173946203,-0.35827705995300213
14,Anka Chida,2024-10-04,22.0,1.45,0.9809418951541471,1.0,1.0,0.8481311338878263,-0.12097221960613892
14,Anka Chida,2024-10-05,42.0,1.7,0.9753472529691162,1.0,1.0,0.7380492154893677,-0.259996972429405
14,Anka Chida,2024-10-06,31.0,1.1,0.9697599059285563,1.0,1.0,0.7938028219890284,-0.18717238708085004
14,Anka Chida,2024-10-07,18.0,0.72,0.9641815074183485,1.0,1.0,0.9717738589809156,0.015115639561227162
14,Anka Chida,2024-10-08,27.0,0.8,0.9586137081763598,1.15,1.0,1.1203399061071695,0.15737992338045778
14,Anka Chida,2024-10-09,29.0,0.92,0.953058155803963,1.0,1.0,1.1359979920510883,0.17125934925754835
14,Anka Chida,2024-10-10,29.0,1.05,0.9475164942784856,1.0,1.0,1.086729911389658,0.12692090220305563
14,Anka Chida,2024-10-11,15.0,1.45,0.9419903634667296,1.0,1.0,0.4963296958518704,-0.6567670671790559
14,Anka Chida,2024-10-12,63.0,1.7,0.936481398639709,1.0,1.0,1.5294042997534743,0.46862610954374595
14,Anka Chida,2024-10-13,31.0,1.1,0.930991229988747,1.0,1.0,1.1158642814744784,0.15337704150263506
14,Anka Chida,2024-10-14,26.0,0.72,0.9255214821430756,1.0,1.0,1.1287431867020725,0.16485258610730982
14,Anka Chida,2024-10-15,25.0,0.8,0.9200737736890823,1.0,1.0,0.9244874730096955,-0.03476798174250169
14,Anka Chida,2024-10-16,29.0,0.92,0.9146497166913437,1.0,1.0,1.0377323324371084,0.08078567945299699
14,Anka Chida,2024-10-17,26.0,1.05,0.9092509162155902,1.0,1.0,0.8438335607978591,-0.1260522101585439
14,Anka Chida,2024-10-18,36.0,1.45,0.9038789698537407,1.0,1.0,0.9011282970321158,-0.06035984094775201
14,Anka Chida,2024-10-19,65.0,1.7,0.8985354672511503,1.0,1.0,1.163797361102871,0.19543604227531886
14,Anka Chida,2024-10-20,14.0,1.1,0.8932219896362077,1.0,1.0,0.5325623847886055,-0.5863074372072082
14,Anka Chida,2024-10-21,14.0,0.72,0.8879401093524246,1.0,1.0,0.9463420023887681,-0.011403454019906735
14,Anka Chida,2024-10-22,15.0,0.8,0.8826913893931545,1.0,1.0,0.9059511016719856,-0.05502214953934299
14,Anka Chida,2024-10-23,26.0,0.92,0.8774773829390768,1.0,1.0,1.1545628789436106,0.1874696090715074
14,Anka Chida,2024-10-24,40.0,1.05,0.872299632898587,1.0,1.0,1.0313971881865824,0.07466217294140721
14,Anka Chida,2024-10-25,23.0,1.45,0.8671596714512239,1.0,1.0,0.7428595929956707,-0.25350042868915545
14,Anka Chida,2024-10-26,17.0,1.7,0.8620590195942737,1.0,1.0,0.6263056904605507,-0.4241689071328959
14,Anka Chida,2024-10-27,26.0,1.1,0.8569991866926825,1.0,1.0,1.2939448593601088,0.30144337914143304
14,Anka Chida,2024-10-28,12.0,0.72,0.8519816700324108,1.0,1.0,0.9464376469510356,-0.011302391476908355
14,Anka Chida,2024-10-29,14.0,0.8,0.8470079543773623,1.0,1.0,0.6700736781298977,-0.3566198087642232
14,Anka Chida,2024-10-30,17.0,0.92,0.8420795115300191,1.0,1.0,0.8061961270944022,-0.17168043569155644
14,Anka Chida,2024-10-31,40.0,1.05,0.8371977998959106,1.0,1.0,1.1303778062934662,0.1662997152179045
14,Anka Chida,2024-11-01,28.0,1.45,0.8323642640520481,1.2,1.0,0.779561960994819,-0.20527530899573473
14,Anka Chida,2024-11-02,32.0,1.7,0.8275803343194525,1.0,1.0,0.8077922288073732,-0.16970259957217948
14,Anka Chida,2024-11-03,43.0,1.1,0.8228474263398973,1.0,1.0,1.3527633348453134,0.3458972115958681
14,Anka Chida,2024-11-04,10.0,0.72,0.8181669406569991,1.0,1.0,0.48433689693977516,-0.6812267498303176
14,Anka Chida,2024-11-05,14.0,0.8,0.8135402623017731,1.0,1.0,1.0325065389954136,0.07573717552127973
14,Anka Chida,2024-11-06,35.0,0.92,0.8089687603827806,1.0,1.0,1.2316531568030769,0.2521050934266025
14,Anka Chida,2024-11-07,24.0,1.05,0.8044537876809881,1.0,1.0,1.06163524752333,0.10355820226936557
14,Anka Chida,2024-11-08,36.0,1.45,0.7999966802494567,1.0,1.0,0.9133030473703582,-0.04693973211059352
14,Anka Chida,2024-11-09,46.0,1.7,0.7955987570179837,1.0,1.0,0.9160746635636914,-0.04390961066827864
14,Anka Chida,2024-11-10,28.0,1.1,0.7912613194028086,1.0,1.0,0.921601242696226,-0.037894844108903286
14,Anka Chida,2024-11-11,15.0,0.72,0.7869856509215049,1.0,1.0,0.9495160441928095,-0.00805505483430514
14,Anka Chida,2024-11-12,32.0,0.8,0.7827730168131646,1.0,2.2804978813094046,0.8685877452215246,-0.09713887111598571
14,Anka Chida,2024-11-13,11.0,0.92,0.7786246636639955,1.0,1.0,0.777932377528743,-0.207367880404069
14,Anka Chida,2024-11-14,20.0,1.05,0.7745418190384349,1.0,1.0,0.9802277209611682,0.023777430537677297
14,Anka Chida,2024-11-15,19.0,1.45,0.7705256911158942,1.0,1.0,0.5433731549770453,-0.5662111886455122
14,Anka Chida,2024-11-16,19.0,1.7,0.766577468333239,1.0,1.0,0.6482573576102751,-0.38971970814895845
14,Anka Chida,2024-11-17,25.0,1.1,0.7626983190331112,1.0,1.0,1.0758299819193045,0.11684023640693349
14,Anka Chida,2024-11-18,17.0,0.72,0.7588893911181986,1.0,1.0,1.0529169137997658,0.09531212228581826
14,Anka Chida,2024-11-19,17.0,0.8,0.7551518117115508,1.0,1.0,1.1021153345745427,0.14097916109867178
